,price,model_year,model,condition,cylinders,fuel,odometer,transmission,type,paint_color,date_posted,days_listed
214,11799.0,2015,chevrolet camaro,excellent,6,gas,26881.0,automatic,coupe,red,2019-02-03,21
215,9299.0,2016,nissan altima,excellent,4,gas,47833.0,automatic,sedan,silver,2019-01-19,75
216,3750.0,2007,jeep grand cherokee laredo,fair,6,gas,131800.0,automatic,SUV,grey,2018-06-29,50
217,3800.0,2012,nissan altima,good,4,gas,186576.0,automatic,sedan,black,2019-01-02,37
218,7995.0,2011,subaru forester,good,4,gas,112000.0,automatic,SUV,blue,2019-02-12,53
219,23200.0,2018,chevrolet camaro lt coupe 2d,good,6,gas,7136.0,other,coupe,black,2018-08-18,25
220,5500.0,1981,chevrolet corvette,fair,8,gas,75000.0,automatic,coupe,blue,2019-01-15,49
221,9100.0,2014,kia sorento,good,4,gas,100100.0,automatic,SUV,silver,2018-08-30,74
222,18675.0,2015,ram 1500,good,8,gas,86115.0,automatic,truck,white,2018-11-11,7
223,8675.0,2012,buick enclave,good,6,gas,130043.055,automatic,SUV,brown,2018-05-06,36
224,20675.0,2018,ford escape,good,4,gas,130043.055,automatic,SUV,black,2018-09-29,30
225,19675.0,2008,gmc sierra 2500hd,good,8,gas,130043.055,automatic,truck,grey,2018-09-22,35
226,13889.0,2005,gmc sierra 2500hd,good,8,gas,95914.0,automatic,truck,custom,2018-07-13,37
227,5000.0,2011,toyota camry le,excellent,4,gas,173000.0,automatic,sedan,white,2018-06-26,19
228,6100.0,2013,ford fusion,good,4,gas,130043.055,automatic,sedan,silver,2018-07-19,80
229,3250.0,2001,ford f150,fair,8,gas,296000.0,automatic,truck,black,2018-12-07,24
230,28200.0,2012,ford f-350 sd,excellent,8,diesel,129000.0,automatic,truck,black,2018-09-26,28
231,15900.0,2016,ford escape,excellent,4,gas,19764.0,automatic,SUV,grey,2018-12-09,48
232,34900.0,2017,ford f-250 sd,excellent,8,gas,106274.11,automatic,truck,white,2018-12-06,56
233,22914.0,2015,bmw x5,excellent,6,gas,69686.0,automatic,SUV,white,2018-07-07,9
234,22900.0,2015,gmc sierra 1500,excellent,8,gas,85190.0,automatic,truck,white,2018-08-24,11
235,19900.0,2013,ford f-150,excellent,6,gas,79657.0,automatic,truck,silver,2019-03-01,4
236,14685.0,2011,toyota tacoma,excellent,6,gas,106274.11,automatic,truck,white,2018-06-21,32
